번호,도로명(노선수),폭원(미터),연장(미터),면적(제곱미터),기  점,종  점,비 고
1,가람로(검단산단),25,542,13550,오류동 1434,서측구역계,대3-114
2,가석로156번길,21,530,11130,고속도로측도교차점,건지로348번길,
3,가정로151번길,25,365,9125,염곡로교차점,가정로교차점,
4,가정로152번길,25,330,8250,가정로교차점,고속도로측도교차점,중1-174
5,가정로98번길,25,320,8000,가정로교차점,고속도로측도교차점,
6,갑문2로(물류단지),26,539,14014,대로 1-2,대로 1-3,대3-3
7,갑문4로(1)(물류단지),26,1093,28418,대로 1-3,대로 1-3,대3-5
8,갑문4로(2)(물류단지),26,486,12636,대로 1-2,대로 1-3,대3-4
9,갑문로(물류단지),35,437,15295,중로 1-141,대로 3-3,대1-3
10,거첨로(1)(물류단지),33,1430,47190,대로 3-50,중로 1-141,대2-49
11,거첨로(2)(물류단지),24,1832,43968,대로 2-61,구역계(약암로),중1-141
12,건지로,30,4250,127500,북항,장고개삼거리,대2-29
13,검단로,25,8722,218050,오류동(김포시계),김포시계,"대3-58, 대3-13"
14,검바위로,21~34,342,7182,대로 3-2,소로 3-1,중1-186
15,경명대로,40,13730,549200,경서동 대2-73,국도39호선교차점,"광3-9,광3-13"
16,경원대로,35,16047,561645,외암도삼거리,굴다리오거리,"광2-6,대1-12,대2-13,대1-15"
17,경인로,35,12405,434175,숭의로터리,부천시계,"대1-1,중1-4"
18,경인항대로(1)(물류단지),25,1450,36250,대로1-66,대로2-1,대3-50
19,경인항대로(2)(물류단지),32,891,28512,대로 2-2,대로 1-1,대2-1
20,계산새로,35,1430,50050,장제로교차점,서부간선로교차점,대1-28
21,계양대로,40,2180,87200,경인고속도로,계산삼거리,광3-8
22,구월로,30,4130,123900,석바위사거리,만수주공사거리,대2-31
23,국제대로,40,2360,94400,광로2-4,대로1-19,
24,굴포로,30,1992,59760,부평대로교차점,체육관로교차점,"대2-15, 대2-65"
25,길주로,35,7200,252000,봉수대길교차점,부천시계,대1-11
26,남동대로,35~40,9305,372200,외암삼거리,간석오거리,광3-10
27,남동서로,25,2917,72925,능허대로교차점,비류대로교차점,대3-24
28,논고개로,25~30,4134,124020,아암로교차점,소래로교차점,"대3-21,광3-28,대3-98"
29,논고개로123번길,28,275,7700,논현역로교차점,논고개로교차점,대3-77
30,논현고잔로,25,2490,62250,면허시험장,은봉로교차점,대3-75
31,누리로(1)(검단산단),22,371,8162,대로 3-117,대로 3-115,중1-365
32,누리로(2)(검단산단),22,117,2574,대로 3-115,오류동 1251,중1-366
33,능허대로,30,7780,233400,옹암사거리,호구포길교차점,"대2-10,대2-42"
34,다남로,21~33,553,11613,대로 1-19,소로 3-12,중1-187
35,담방로,25,949,23725,인주대로교차점,담방마을APT입구,대3-41
36,대정로,25,800,20000,굴다리오거리,시장역오거리,대3-15
37,도담로(1)(검단산단),22,1477,32494,대로 3-114,대로 3-64,중1-363
38,도담로(2)(검단산단),22,369,8118,대로 3-117,대로 3-115,중1-362
39,도담로(3)(검단산단),22,117,2574,대로 3-115,오류동 1144,중1-367
40,독배로,25~30,5125,128125,능허로교차점,숭의로터리,"대2-10,대3-5"
41,동산로,25,850,21250,박문삼거리,송림오거리,대3-2
42,드림로,30,13000,390000,원당로교차점,김포시 동측경계,대2-61
43,마장로,30,5600,168000,부평사거리,봉오대로교차점,대2-36
44,마중로(1)(검단산단),25,498,12450,광로 3-23,대로 3-58,대3-116
45,마중로(2)(검단산단),25,1320,33000,광로 3-23,대로 3-114,대3-115
46,만수서로,20~30,840,23520,백범로교차점,만수주공길(중1-62),중1-180
47,매소홀로,30~35,11580,347400,남문사거리,담방로교차점,"대2-7,-48,대3-60"
48,먼우금로,25~35,3200,96000,수리봉사거리,능허대길교차점,
49,무네미로,40,6160,246400,서창JC,부천시계,
50,문화로,25,3116,77900,경원대로교차점,경인로교차점,
51,미래로,50,375,18750,시청입구삼거리,시청광장,광2-15
52,미추홀대로,25~50,7134,249690,아암로교차점,주안역삼거리,
53,방축로,30,5065,151950,방축삼거리,간석역입구사거리,
54,방축로38번길,28,200,5600,방축사거리,염전사거리,
55,백범로,35,11020,385700,원석로교차점,장수사거리,
56,뱃길1로(물류단지),21,554,11634,대로 1-2,대로 1-2,중1-10
57,뱃길로(물류단지),35,259,9065,중로 1-141,대로 3-3,대1-2
58,벌말로,25,3800,95000,서울시경계,김포시경계,
59,보듬로(1)(검단산단),25,497,12425,광로 3-23,대로 3-58,대3-118
60,보듬로(2)(검단산단),25,1319,32975,광로 3-23,대로 3-114,대3-117
61,봉수대로,35~40,16925,592375,송림삼거리,김포시계,
62,봉오대로(1)직선화,57,188,10716,청라경제청계,가정동 31호광장,대1-63
63,봉오대로(2),50~70,10100,505000,봉수대로교차점,부천시계,
64,봉오재3로110번길,25,119,2975,대3-111(염곡로464),중1-321(봉오재3로),(대3-110)
65,부영로,30,1400,42000,경원로교차점,원적로교차점,대2-34
66,부평대로,40,3370,134800,부평역,경인고속도로,광3-8
67,부흥로,30,3990,119700,장고개삼거리,부천시계,대2-32
68,북항로177번길,40,1761,70440,북항로교차점,북항로309번길,
69,북항로309번길,35,3100,108500,중봉대로교차점,북항로245번길,
70,비류대로,40,10700,428000,옹암사거리,시흥시계,
71,새천년로,33,1010,33330,석정로교차점,송림로교차점,
72,샛골로,25,500,12500,송림오거리,송현주공아파트,
73,서곶로,25~30,9450,255150,서달로교차점,마전로교차점,
74,서부간선로,30,3410,102300,장제로교차점,봉오대로교차점,
75,서창남로(서창지구),25~28,1201,31226,서창동 104-17,서창동 448-14,대3-105
76,서창남순환로(1)(서창지구),20~23,903,19866,서창동 633-4,서창동 499-2,중1-314
77,서창남순환로(2)(서창지구),20~23,1917,42174,서창동 633-4,서창동 500-155,중1-313
78,서창남순환로215번길(서창지구),25,359,8975,서창동 633-4,서창동 104-11,대3-106
79,서창남순환로216번길(서창지구),25,257,6425,서창동 633-4,서창동 633-4,대3-107
80,서창방산로(1)(서창지구),30~33,1561,49952,서창동 86,서창동 633-12,대2-76
81,서창방산로(2)(서창지구),20~24,145,3190,서창동 84-2,서창동 632-35,중1-318
82,서해대로,50~70,6320,316000,해안,송현오거리,
83,서해대로209번길,30,855,25650,축항대로166번길,서해대로교차점,
84,서해대로210번길,25,475,11875,서해대로교차점,축항대로 296번길,
85,서해대로93번길,35,775,27125,서해대로교차점,항동7가113-1,
86,서해대로94번길,30~35,1750,57750,서해대로교차점,아암대로교차점,
87,석정로,25,6450,161250,남부역삼거리,벽돌막사거리,
88,선수촌로,23,859,19757,대로1-13,대로2-7,
89,선수촌로17번길,21,440,9240,광로3-10,중로1-483,
90,선학경기장진입로,25~27,246,6396,선학동(선학경기장),광3-10(남동대로),대3-180
91,소래로,35,6050,211750,만수사거리,소래,
92,소래역남로,25,515,12875,앵고개로 교차점,아암대로교차점,
93,소래역남로16번길,22,491,10802,소래역남로 교차점,앵고개로 교차점,
94,소래역로,23,1220,28060,아암대로교차점,은봉로교차점,
95,소성로,30,2700,81000,비룡삼거리,미추홀길교차점,
96,송림로,33,3250,107250,배다리사거리,인천교삼거리,
97,송현로,30,750,22500,화도진길교차점,중봉대로교차점,
98,수문통로,35,650,22750,수문통삼거리,화도진로교차점,
99,수변로,30,3600,108000,평천로교차점,부개역사거리,
100,수인로,30~40,2250,78750,장수사거리,백범로교차점,
101,숙골로,30,618,18540,도화초등교사거리,인천대삼거리,
102,시장로,25,1110,27750,부평역사거리,부흥오거리,
103,신진말로,25,410,10250,고속도로측도,원적산로교차점,
104,아나지로,30,8003,240090,염곡로 교차점,부천시계,
105,아암대로(1),40,13000,520000,능안삼거리,제3경인고속도로,
106,아암대로(2)(소래),40,240,9600,소래역로 교차점,소래로 교차점,
107,앵고개로,30~35,9456,283680,아암대로교차점,소래로교차점,
108,연남로,25,450,11250,매소홀로교차점,인하로교차점,
109,연안부두로,35,1663,58205,연안사거리,축항대로118번길,
110,연안부두로115번길,30,630,18900,축항대로118번길,연안부두로,
111,연안부두로33번길,30,610,18300,축항대로118번길,연안부두로,
112,연안부두로75번길,35,800,28000,축항대로118번길,연안부두로,
113,열우물로,25~30,2950,88500,벽돌막사거리,가재울사거리,
114,염곡로,25,1107,27675,중1-27(염곡로),광2-5(봉오대로),(대3-109)
115,염곡로464번길,25,211,5275,대3-109(염곡로),대3-110(봉오재3로110),(대3-111)
116,염전로,30,2341,70230,궁현사거리,중봉대로,
117,영종순환로,35~40,597,20895,운북동(경관녹지4),운북동(광장1),
118,예술로,25,3660,91500,관교로교차점,동암역남광장,
119,오조산로,30,1330,39900,경명로교차점,봉오대로교차점,
120,옥련로,25,1110,27750,능허대로교차점,한나루로교차점,
121,완정로,25~30,2720,68000,완정삼거리,봉수대로교차점,
122,용유로,30,3255,97650,남북동 501,덕교동 산73,대2-501
123,용유서로,25,7045,176125,을왕동 산105-2,남북동 551-1,대2-505
124,우현로,30,900,27000,사동삼거리,동인천역앞,
125,운연천로(서창지구),20~23,254,5588,서창동 86,서창동 632-17,중1-315
126,원당대로,40,10680,427200,김포시 서측경계,김포시 동측경계,
127,원석로,25,1302,32550,북항로교차점,건지로교차점,
128,원인재로,25,3270,81750,갈마산사거리,먼우금길교차점,
129,원적로,20~30,4950,123750,가재울사거리,산곡입구삼거리,
130,월미로,20~30,4850,121250,월미공원입구,인천역사거리,
131,은봉로,25,4300,107500,남동서로교차점,소래로교차점,
132,은봉로60번길,25,335,8375,남동대로239번길,은봉로교차점,
133,은청로,25,1650,41250,남동서로교차점,호구포로교차점,
134,이든로(1)(검단산단),22,164,3608,중로 1-363,중로 1-655,중1-369
135,이든로(2)(검단산단),22,291,6402,광로 3-23,중로 1-363,중1-368
136,인주대로,30~40,10805,378175,능안삼거리,치야고개삼거리,광3-7
137,인중로,40,7263,290520,숭의로터리,송림고가교,광3-2
138,인천대로,33,10450,344850,아암대로교차점,서인천IC 부근,대2-119
139,인하로,25~26,6828,170700,독배길교차점,호구포로교차점,
140,인항로,50,440,22000,인하대병원사거리,인항사거리,
141,자연대로,35,5380,188300,광4-504(하늘도시),운북동(미단시티),
142,장고개로,30,4091,122730,도화오거리,장고개삼거리,
143,장승남로,25,650,16250,소래로교차점,신한은행앞사거리,
144,장제로,25~35,17047,511410,간석사거리,김포시계,
145,정서진1로(1)(물류단지),21,397,8337,물류단지 경계,대로 1-1,중1-5
146,정서진1로(2)(물류단지),21,136,2856,중로 1-5,중로 1-5,중1-4
147,정서진3로(물류단지),26,150,3900,물류단지 경계,대로 1-1,대3-1
148,정서진4로(물류단지),21,295,6195,대로 2-1,대로 1-1,중1-2
149,정서진5로(물류단지),21,392,8232,중로 1-7,대로 1-1,중1-6
150,정서진6로(1)(물류단지),21,341,7161,중로 1-2,대로 1-1,중1-3
151,정서진6로(2)(물류단지),21,398,8358,대로 1-1,중로 1-2,중1-1
152,정서진7로(물류단지),30,337,10110,대로 2-1,대로 1-1,대2-2
153,정서진8로(물류단지),21,650,13650,대로 2-2,중로 1-7,중1-9
154,정서진9로(물류단지),21,171,3591,중로 1-9,중로 1-7,중1-8
155,정서진로(1)(물류단지),35,1230,43050,대로 2-1,대로 2-2,대1-1
156,정서진로(2)(물류단지),26,139,3614,중로 1-5,대로 1-1,대3-2
157,정서진로(3)(물류단지),21,647,13587,중로 1-9,대로 1-1,중1-7
158,제물량로,15~30,4615,138450,능안삼거리,화수부두입구,
159,주안로,30,2800,84000,도화초등학교사거리,주원삼거리,
160,중봉대로,30~40,8205,328200,송현사거리,경서삼거리,
161,참외전로,25~30,3350,100500,송월사거리,숭의삼거리,
162,청능대로,40~60,7340,367000,청능교차로,소래로교차점,
163,청능대로289번길,35,420,14700,은청로교차점,청릉대교차점,
164,청중로,35,258,9030,광3-9(봉수대로),중1-321(봉오재3로),(대1-68)
165,축항대로,50,3350,167500,해양경찰청,서해안고속도로종점,
166,축항대로117번길,30,430,12900,축항대로교차점,서해대로293번길,
167,축항대로118번길,30,1470,44100,축항대로교차점,연안부두로(석탄부두),
168,축항대로165번길,25,440,11000,축항대로교차점,서해대로293번길,
169,축항대로166번길,25,575,14375,축항대로교차점,서해대로179번길,
170,축항대로211번길,25,440,11000,축항대로교차점,서해대로293번길,
171,축항대로212번길,30,555,16650,축항대로교차점,서해대로179번길,
172,축항대로290번길,30,2150,64500,서해대로30번길,축항대로교차점,
173,축항대로296번길,35,2100,73500,서해대로30번길,축항대로교차점,
174,축항대로86번길,30,1400,42000,축항대로교차점,연안부두로교차점,
175,축항대로87번길,35,480,16800,축항대로교차점,항만(대1-5),
176,평천로,25,6100,152500,부평북로교차점,부천시계,
177,포구로,25,1277,31925,아암대로교차점,은봉로교차점,
178,하촌로,25,700,17500,백범로교차점,인주대로교차점,
179,한나루로,30,4350,130500,아암로교차점,도화I.C교차로,
180,한들로,25~30,1100,27500,봉수대로교차점,서곶로교차점,
181,함박뫼로,25,4550,113750,청능대로교차점,호구포길교차점,
182,호구포로,35,9690,339150,아암로교차점,만월로교차점,
183,환경로,35,640,22400,경명로교차점,경인항대로,대1-66
184,매소홀로 290번길,26,220,5720,매소홀로(대2-7),노적산로(중2-56),대1-67
185,거월로,30,640,19200,거월로 51,드림로 114,
186,도화로2번길,25.5,115,2933,대 2-32,대 3-9,대 3-6
187,숙골로87번길,25.5,350,8925,대 2-3,대 3-1,대 3-9
188,숙골로88번길,25.5,748,19074,대 2-3,대 3-1,대 3-9
189,숙골로112번길,22.5,309,6953,대 3-9,대 2-92,중 1-144
190,염전로168번길,22.5,177,3983,대 2-1,중 3-317,중 1-488
191,서운산업로,23,153,3595,광 2-5,중 3-73,중 1-658(서운산단)
192,서운산단로,23,429,10081,광 3-9,중 1-656,중 1-657(서운산단)
193,대 2-116,30,602,18060,대 2-40,대 1-17,북항배후단지
194,중1-176(정서진로),23.4,14294,334480,서구 시천동,계양구 평동 1-1,경인아라뱃길
195,대 3-102,25,338,8450,광 3-6,중 2-600,신흥동3가 69-11 도
196,대 3-103,25,213,5325,광 3-6,중 2-600,신흥동3가 69-13 도
197,대1-16,35,1528,53480,광2-4,대3-292,
