시도명,시군구명,도로위계,도로명,종속구분,연장,폭
부산광역시,중구,길,40계단길,주도로,128,15
부산광역시,중구,길,고가길,주도로,498,8
부산광역시,중구,길,고가길68번길,주도로,137,2
부산광역시,중구,길,고가길7번길,주도로,60,5
부산광역시,중구,로,광복로,주도로,1007,13
부산광역시,중구,길,광복로12번길,주도로,112,8
부산광역시,중구,길,광복로16번길,주도로,92,3
부산광역시,중구,길,광복로18번길,주도로,117,4
부산광역시,중구,길,광복로35번길,주도로,390,8
부산광역시,중구,길,광복로37번길,주도로,84,5
부산광역시,중구,길,광복로39번길,주도로,394,6
부산광역시,중구,길,광복로43번길,주도로,228,6
부산광역시,중구,길,광복로49번길,주도로,395,6
부산광역시,중구,길,광복로55번길,주도로,165,5
부산광역시,중구,길,광복로67번길,주도로,161,5
부산광역시,중구,길,광복로6번길,주도로,138,8
부산광역시,중구,길,광복로77번길,주도로,105,5
부산광역시,중구,길,광복로85번길,주도로,194,6
부산광역시,중구,길,광복로97번길,주도로,269,6
부산광역시,중구,길,광복로97번안길,주도로,114,9
부산광역시,중구,로,광복중앙로,주도로,393,12
부산광역시,중구,길,광복중앙로24번길,주도로,112,4
부산광역시,중구,길,광복중앙로33번길,주도로,157,8
부산광역시,중구,길,광복중앙로34번길,주도로,72,6
부산광역시,중구,로,구덕로,주도로,3450,35
부산광역시,중구,길,구덕로14번길,주도로,79,5
부산광역시,중구,길,구덕로22번길,주도로,86,6
부산광역시,중구,길,구덕로34번길,주도로,100,10
부산광역시,중구,길,구덕로48번길,주도로,102,10
부산광역시,중구,길,구덕로84번길,주도로,112,11
부산광역시,중구,길,국제시장1길,주도로,348,5
부산광역시,중구,길,국제시장2길,주도로,381,8
부산광역시,중구,길,남포길,주도로,467,4
부산광역시,중구,로,대교로,주도로,1600,35
부산광역시,중구,로,대영로,주도로,2360,30
부산광역시,중구,길,대영로215번길,주도로,74,7
부산광역시,중구,길,대영로224번길,주도로,201,7
부산광역시,중구,길,대영로226번길,주도로,234,3
부산광역시,중구,길,대영로226번안길,주도로,102,6
부산광역시,중구,길,대영로239번길,주도로,350,6
부산광역시,중구,길,대영로242번길,주도로,237,2
부산광역시,중구,길,대영로242번안길,주도로,138,5
부산광역시,중구,길,대영로243번길,주도로,570,6
부산광역시,중구,길,대영로247번길,주도로,145,5
부산광역시,중구,로,대청로,주도로,1580,25
부산광역시,중구,길,대청로116번길,주도로,161,6
부산광역시,중구,길,대청로125번길,주도로,146,2
부산광역시,중구,길,대청로126번길,주도로,386,6
부산광역시,중구,길,대청로131번길,주도로,123,4
부산광역시,중구,길,대청로134번길,주도로,315,3
부산광역시,중구,길,대청로135번길,주도로,351,8
부산광역시,중구,길,대청로137번길,주도로,99,6
부산광역시,중구,길,대청로138번길,주도로,173,7
부산광역시,중구,길,대청로141번길,주도로,214,6
부산광역시,중구,길,대청로155번길,주도로,74,7
부산광역시,중구,길,대청로156번길,주도로,405,8
부산광역시,중구,길,대청로25번길,주도로,49,8
부산광역시,중구,길,대청로35번길,주도로,48,8
부산광역시,중구,길,대청로53번길,주도로,216,7
부산광역시,중구,길,대청로90번길,주도로,74,6
부산광역시,중구,길,대청로99번길,주도로,256,4
부산광역시,중구,길,대청로99번안길,주도로,85,4
부산광역시,중구,길,대청북길,주도로,444,6
부산광역시,중구,길,대청북길16번길,주도로,158,4
부산광역시,중구,길,대청북길16번안길,주도로,73,4
부산광역시,중구,길,대청북길17번길,주도로,297,6
부산광역시,중구,길,대청북길25번길,주도로,29,4
부산광역시,중구,길,대청북길26번길,주도로,46,4
부산광역시,중구,길,대청북길33번길,주도로,49,4
부산광역시,중구,길,대청북길34번길,주도로,62,3
부산광역시,중구,길,대청북길39번길,주도로,42,4
부산광역시,중구,길,동광길,주도로,1063,8
부산광역시,중구,길,동광길111번길,주도로,97,3
부산광역시,중구,길,동광길165번길,주도로,157,4
부산광역시,중구,길,동광길21번길,주도로,89,2
부산광역시,중구,길,동광길69번길,주도로,111,2
부산광역시,중구,길,동광길91번길,주도로,141,2
부산광역시,중구,길,동광길93번길,주도로,143,6
부산광역시,중구,길,동광길95번길,주도로,68,5
부산광역시,중구,길,동광길99번길,주도로,57,2
부산광역시,중구,로,동영로,주도로,1121,12
부산광역시,중구,길,동영로10번길,주도로,129,1
부산광역시,중구,길,동영로13번길,주도로,62,2
부산광역시,중구,길,동영로17번길,주도로,141,4
부산광역시,중구,길,동영로21번길,주도로,28,2
부산광역시,중구,길,동영로22번길,주도로,358,6
부산광역시,중구,길,동영로27번길,주도로,52,2
부산광역시,중구,길,동영로31번길,주도로,162,2
부산광역시,중구,길,동영로31번안길,주도로,108,2
부산광역시,중구,길,동영로61번길,주도로,78,4
부산광역시,중구,길,동영로64번길,주도로,224,6
부산광역시,중구,길,동영로73번길,주도로,290,7
부산광역시,중구,길,동영로7번길,주도로,127,4
부산광역시,중구,길,동영로86번길,주도로,188,9
부산광역시,중구,길,동영로93번길,주도로,40,6
부산광역시,중구,길,동영로93번안길,주도로,68,2
부산광역시,중구,로,망양로,주도로,10068,12
부산광역시,중구,길,망양로193번길,주도로,740,8
부산광역시,중구,길,망양로259번길,주도로,52,6
부산광역시,중구,길,망양로265번길,주도로,46,5
부산광역시,중구,길,망양로268번길,주도로,62,2
부산광역시,중구,길,망양로270번길,주도로,54,2
부산광역시,중구,길,망양로271번길,주도로,55,2
부산광역시,중구,길,망양로275번길,주도로,30,2
부산광역시,중구,길,망양로277번길,주도로,53,2
부산광역시,중구,길,망양로278번길,주도로,53,5
부산광역시,중구,길,망양로281번길,주도로,36,2
부산광역시,중구,길,망양로286번길,주도로,28,2
부산광역시,중구,길,망양로288번길,주도로,47,3
부산광역시,중구,길,망양로291번길,주도로,53,1
부산광역시,중구,길,망양로295번길,주도로,21,2
부산광역시,중구,길,망양로298번길,주도로,44,2
부산광역시,중구,길,망양로301번길,주도로,44,2
부산광역시,중구,길,망양로304번길,주도로,46,2
부산광역시,중구,길,망양로307번길,주도로,72,2
부산광역시,중구,길,망양로314번길,주도로,44,4
부산광역시,중구,길,망양로319번길,주도로,729,7
부산광역시,중구,길,망양로322번길,주도로,46,4
부산광역시,중구,길,망양로322번안길,주도로,78,2
부산광역시,중구,길,망양로325번길,주도로,47,2
부산광역시,중구,길,망양로329번길,주도로,52,2
부산광역시,중구,길,망양로331번길,주도로,51,3
부산광역시,중구,길,망양로332번길,주도로,66,4
부산광역시,중구,길,망양로335번길,주도로,66,3
부산광역시,중구,길,망양로336번길,주도로,41,2
부산광역시,중구,길,망양로337번길,주도로,66,3
부산광역시,중구,길,망양로341번길,주도로,77,3
부산광역시,중구,길,망양로342번길,주도로,81,3
부산광역시,중구,길,망양로344번길,주도로,61,3
부산광역시,중구,길,망양로350번길,주도로,105,4
부산광역시,중구,길,망양로355번길,주도로,384,6
부산광역시,중구,길,망양로358번길,주도로,75,6
부산광역시,중구,길,망양로361번길,주도로,80,2
부산광역시,중구,길,망양로363번길,주도로,73,3
부산광역시,중구,길,망양로365번길,주도로,73,2
부산광역시,중구,길,망양로366번길,주도로,42,4
부산광역시,중구,길,망양로369번길,주도로,69,3
부산광역시,중구,길,망양로372번길,주도로,51,3
부산광역시,중구,길,망양로383번길,주도로,91,9
부산광역시,중구,길,망양로383번안길,주도로,502,6
부산광역시,중구,길,민주공원길,주도로,600,8
부산광역시,중구,길,배수지길,주도로,450,6
부산광역시,중구,길,백산길,주도로,203,8
부산광역시,중구,길,법수길,주도로,422,7
부산광역시,중구,길,법수길24번길,주도로,58,3
부산광역시,중구,길,법수길24번안길,주도로,49,2
부산광역시,중구,길,법수길38번길,주도로,46,2
부산광역시,중구,길,법수길50번길,주도로,58,4
부산광역시,중구,길,법수길63번길,주도로,63,2
부산광역시,중구,길,법수길76번길,주도로,52,5
부산광역시,중구,길,보동길,주도로,1860,6
부산광역시,중구,길,보동길112번길,주도로,57,2
부산광역시,중구,길,보동길20번길,주도로,47,4
부산광역시,중구,길,보동길26번길,주도로,43,5
부산광역시,중구,길,보동길32번길,주도로,29,2
부산광역시,중구,길,보동길44번길,주도로,64,4
부산광역시,중구,길,보동길82번길,주도로,44,1
부산광역시,중구,길,보동길84번길,주도로,42,2
부산광역시,중구,대로,보수대로,주도로,5540,50
부산광역시,중구,길,보수대로106번길,주도로,220,8
부산광역시,중구,길,보수대로118번길,주도로,357,8
부산광역시,중구,길,보수대로124번길,주도로,409,8
부산광역시,중구,길,보수대로140번길,주도로,446,7
부산광역시,중구,길,보수대로140번안길,주도로,68,3
부산광역시,중구,길,보수대로142번길,주도로,101,2
부산광역시,중구,길,보수대로144번길,주도로,225,4
부산광역시,중구,길,보수대로146번길,주도로,132,2
부산광역시,중구,길,보수대로24번길,주도로,131,8
부산광역시,중구,길,보수대로36번길,주도로,354,8
부산광역시,중구,길,보수대로44번길,주도로,299,8
부산광역시,중구,길,보수대로56번길,주도로,212,8
부산광역시,중구,길,보수대로64번길,주도로,173,8
부산광역시,중구,길,보수북길,주도로,388,6
부산광역시,중구,길,보수북길27번길,주도로,15,3
부산광역시,중구,길,보수북길31번길,주도로,44,4
부산광역시,중구,길,보수북길59번길,주도로,62,2
부산광역시,중구,길,복병산길,주도로,375,4
부산광역시,중구,길,복병산길32번길,주도로,98,3
부산광역시,중구,길,복병산길3번길,주도로,117,3
부산광역시,중구,길,복병산길6번길,주도로,164,5
부산광역시,중구,길,복병산길7번길,주도로,232,6
부산광역시,중구,길,부평1길,주도로,398,8
부산광역시,중구,길,부평2길,주도로,398,8
부산광역시,중구,길,부평3길,주도로,95,8
부산광역시,중구,로,비프광장로,주도로,405,15
부산광역시,중구,길,샘길,주도로,310,6
부산광역시,중구,길,샘길30번길,주도로,65,2
부산광역시,중구,길,샘길44번길,주도로,25,3
부산광역시,중구,로,영주로,주도로,1072,12
부산광역시,중구,길,영주로11번길,주도로,96,6
부산광역시,중구,길,영주로12번길,주도로,325,6
부산광역시,중구,길,영주로24번길,주도로,51,4
부산광역시,중구,길,영주로32번길,주도로,105,4
부산광역시,중구,길,영주로42번길,주도로,109,3
부산광역시,중구,길,영주로54번길,주도로,145,4
부산광역시,중구,길,영주로6번길,주도로,78,4
부산광역시,중구,길,영주로6번안길,주도로,86,4
부산광역시,중구,길,영주로78번길,주도로,107,4
부산광역시,중구,길,영주로84번길,주도로,59,2
부산광역시,중구,길,영주로88번길,주도로,111,2
부산광역시,중구,길,영초길,주도로,1230,6
부산광역시,중구,길,영초길14번길,주도로,92,4
부산광역시,중구,길,용두산길,주도로,561,7
부산광역시,중구,길,용미길,주도로,114,8
부산광역시,중구,길,용미길10번길,주도로,107,5
부산광역시,중구,길,용미길7번길,주도로,70,6
부산광역시,중구,길,용미길8번길,주도로,93,7
부산광역시,중구,길,용미길9번길,주도로,80,7
부산광역시,중구,대로,이순신대로,주도로,2302,40
부산광역시,중구,길,이순신대로107번길,주도로,235,33
부산광역시,중구,길,임소길,주도로,173,6
부산광역시,중구,길,임소길15번길,주도로,126,4
부산광역시,중구,길,임소길16번길,주도로,72,5
부산광역시,중구,길,임소길18번길,주도로,55,4
부산광역시,중구,길,임소길7번길,주도로,56,4
부산광역시,중구,로,자갈치로,주도로,810,14
부산광역시,중구,길,자갈치로15번길,주도로,87,10
부산광역시,중구,길,자갈치로16번길,주도로,62,9
부산광역시,중구,길,자갈치로23번길,주도로,89,11
부산광역시,중구,길,자갈치로24번길,주도로,62,11
부산광역시,중구,길,자갈치로37번길,주도로,74,11
부산광역시,중구,길,자갈치로38번길,주도로,62,11
부산광역시,중구,길,자갈치로47번길,주도로,88,11
부산광역시,중구,길,자갈치로48번길,주도로,61,11
부산광역시,중구,길,자갈치로59번길,주도로,65,11
부산광역시,중구,길,자갈치로60번길,주도로,62,11
부산광역시,중구,로,자갈치해안로,주도로,862,12
부산광역시,중구,로,중구로,주도로,1942,20
부산광역시,중구,길,중구로111번길,주도로,73,7
부산광역시,중구,길,중구로111번안길,주도로,111,6
부산광역시,중구,길,중구로130번길,주도로,55,2
부산광역시,중구,길,중구로143번길,주도로,77,4
부산광역시,중구,길,중구로148번길,주도로,123,6
부산광역시,중구,길,중구로156번길,주도로,91,4
부산광역시,중구,길,중구로169번길,주도로,91,4
부산광역시,중구,길,중구로171번길,주도로,94,5
부산광역시,중구,길,중구로172번길,주도로,187,4
부산광역시,중구,길,중구로179번길,주도로,76,2
부산광역시,중구,길,중구로181번길,주도로,97,4
부산광역시,중구,길,중구로185번길,주도로,75,2
부산광역시,중구,길,중구로188번길,주도로,229,8
부산광역시,중구,길,중구로21번길,주도로,119,3
부산광역시,중구,길,중구로23번길,주도로,245,8
부산광역시,중구,길,중구로24번길,주도로,237,6
부산광역시,중구,길,중구로29번길,주도로,246,8
부산광역시,중구,길,중구로30번길,주도로,276,6
부산광역시,중구,길,중구로33번길,주도로,242,8
부산광역시,중구,길,중구로34번길,주도로,222,6
부산광역시,중구,길,중구로39번길,주도로,238,8
부산광역시,중구,길,중구로40번길,주도로,217,6
부산광역시,중구,길,중구로43번길,주도로,226,8
부산광역시,중구,길,중구로44번길,주도로,212,6
부산광역시,중구,길,중구로47번길,주도로,225,8
부산광역시,중구,길,중구로48번길,주도로,112,6
부산광역시,중구,길,중구로53번길,주도로,236,8
부산광역시,중구,길,중구로54번길,주도로,45,7
부산광역시,중구,길,중구로5번길,주도로,146,5
부산광역시,중구,길,중구로62번길,주도로,156,4
부산광역시,중구,길,중구로65번길,주도로,190,2
부산광역시,중구,길,중구로6번길,주도로,82,5
부산광역시,중구,길,중구로75번길,주도로,284,6
부산광역시,중구,길,중구로75번안길,주도로,149,3
부산광역시,중구,길,중구로91번길,주도로,155,4
부산광역시,중구,길,중구로91번안길,주도로,96,4
부산광역시,중구,길,중구로97번길,주도로,135,7
부산광역시,중구,길,중동길,주도로,370,4
부산광역시,중구,로,중앙공원로,주도로,1180,12
부산광역시,중구,대로,중앙대로,주도로,25900,35
부산광역시,중구,길,중앙대로115번길,주도로,71,3
부산광역시,중구,길,중앙대로116번길,주도로,166,8
부산광역시,중구,길,중앙대로132번길,주도로,144,10
부산광역시,중구,길,중앙대로147번길,주도로,79,9
부산광역시,중구,길,중앙대로148번길,주도로,154,8
부산광역시,중구,길,중앙대로20번길,주도로,101,11
부산광역시,중구,길,중앙대로29번길,주도로,130,12
부산광역시,중구,길,중앙대로30번길,주도로,74,15
부산광역시,중구,길,중앙대로41번길,주도로,329,9
부산광역시,중구,길,중앙대로42번길,주도로,93,10
부산광역시,중구,길,중앙대로46번길,주도로,74,9
부산광역시,중구,길,중앙대로49번길,주도로,170,6
부산광역시,중구,길,중앙대로68번길,주도로,74,8
부산광역시,중구,길,중앙대로81번길,주도로,107,15
부산광역시,중구,길,중앙대로93번길,주도로,61,12
부산광역시,중구,길,중앙대로98번길,주도로,181,8
부산광역시,중구,길,책방골목길,주도로,221,4
부산광역시,중구,로,초량상로,주도로,1608,10
부산광역시,중구,길,초량상로12번길,주도로,59,3
부산광역시,중구,길,초량상로16번길,주도로,68,3
부산광역시,중구,길,초량상로5번길,주도로,154,8
부산광역시,중구,길,초량상로7번길,주도로,319,6
부산광역시,중구,로,초량중로,주도로,1400,12
부산광역시,중구,길,초량중로5번길,주도로,76,5
부산광역시,중구,길,초량중로6번길,주도로,102,7
부산광역시,중구,대로,충장대로,주도로,3400,50
부산광역시,중구,길,충장대로13번길,주도로,696,8
