연도,발생건수,사망자수,부상자수,시도명,데이터_출처
2007,10304,278.0,15461.0,부산광역시,부산
2008,12302,246.0,18246.0,부산광역시,부산
2009,14278,276.0,20207.0,부산광역시,부산
2010,14052,257.0,20404.0,부산광역시,부산
2011,14061,244.0,20242.0,부산광역시,부산
2012,14909,251.0,21607.0,부산광역시,부산
2013,12773,232.0,17854.0,부산광역시,부산
2014,12969,185.0,18423.0,부산광역시,부산
2015,12958,194.0,18311.0,부산광역시,부산
2016,12428,182.0,17273.0,부산광역시,부산
2017,11966,173.0,16579.0,부산광역시,부산
2018,12161,139.0,16925.0,부산광역시,부산
2019,13250,127.0,18357.0,부산광역시,부산
2020,12091,112.0,16664.0,부산광역시,부산
2021,11550,118.0,15880.0,부산광역시,부산
2022,11133,119.0,15335.0,부산광역시,부산
2023,11267,110.0,15502.0,부산광역시,부산
2024,11535,109.0,15707.0,부산광역시,부산
2015,7725,,,인천광역시,인천
2016,7479,,,인천광역시,인천
2017,6766,,,인천광역시,인천
2018,6710,,,인천광역시,인천
2019,7647,,,인천광역시,인천
2020,7373,,,인천광역시,인천
2021,6728,,,인천광역시,인천
2022,6707,,,인천광역시,인천
2023,6735,,,인천광역시,인천
