시도명,시군구명,도로위계,도로명,종속구분,연장,폭,면적,데이터_출처
부산광역시,중구,길,40계단길,주도로,128.0,15.0,1920.0,부산
부산광역시,중구,길,고가길,주도로,498.0,8.0,3984.0,부산
부산광역시,중구,길,고가길68번길,주도로,137.0,2.0,274.0,부산
부산광역시,중구,길,고가길7번길,주도로,60.0,5.0,300.0,부산
부산광역시,중구,로,광복로,주도로,1007.0,13.0,13091.0,부산
부산광역시,중구,길,광복로12번길,주도로,112.0,8.0,896.0,부산
부산광역시,중구,길,광복로16번길,주도로,92.0,3.0,276.0,부산
부산광역시,중구,길,광복로18번길,주도로,117.0,4.0,468.0,부산
부산광역시,중구,길,광복로35번길,주도로,390.0,8.0,3120.0,부산
부산광역시,중구,길,광복로37번길,주도로,84.0,5.0,420.0,부산
부산광역시,중구,길,광복로39번길,주도로,394.0,6.0,2364.0,부산
부산광역시,중구,길,광복로43번길,주도로,228.0,6.0,1368.0,부산
부산광역시,중구,길,광복로49번길,주도로,395.0,6.0,2370.0,부산
부산광역시,중구,길,광복로55번길,주도로,165.0,5.0,825.0,부산
부산광역시,중구,길,광복로67번길,주도로,161.0,5.0,805.0,부산
부산광역시,중구,길,광복로6번길,주도로,138.0,8.0,1104.0,부산
부산광역시,중구,길,광복로77번길,주도로,105.0,5.0,525.0,부산
부산광역시,중구,길,광복로85번길,주도로,194.0,6.0,1164.0,부산
부산광역시,중구,길,광복로97번길,주도로,269.0,6.0,1614.0,부산
부산광역시,중구,길,광복로97번안길,주도로,114.0,9.0,1026.0,부산
부산광역시,중구,로,광복중앙로,주도로,393.0,12.0,4716.0,부산
부산광역시,중구,길,광복중앙로24번길,주도로,112.0,4.0,448.0,부산
부산광역시,중구,길,광복중앙로33번길,주도로,157.0,8.0,1256.0,부산
부산광역시,중구,길,광복중앙로34번길,주도로,72.0,6.0,432.0,부산
부산광역시,중구,로,구덕로,주도로,3450.0,35.0,120750.0,부산
부산광역시,중구,길,구덕로14번길,주도로,79.0,5.0,395.0,부산
부산광역시,중구,길,구덕로22번길,주도로,86.0,6.0,516.0,부산
부산광역시,중구,길,구덕로34번길,주도로,100.0,10.0,1000.0,부산
부산광역시,중구,길,구덕로48번길,주도로,102.0,10.0,1020.0,부산
부산광역시,중구,길,구덕로84번길,주도로,112.0,11.0,1232.0,부산
부산광역시,중구,길,국제시장1길,주도로,348.0,5.0,1740.0,부산
부산광역시,중구,길,국제시장2길,주도로,381.0,8.0,3048.0,부산
부산광역시,중구,길,남포길,주도로,467.0,4.0,1868.0,부산
부산광역시,중구,로,대교로,주도로,1600.0,35.0,56000.0,부산
부산광역시,중구,로,대영로,주도로,2360.0,30.0,70800.0,부산
부산광역시,중구,길,대영로215번길,주도로,74.0,7.0,518.0,부산
부산광역시,중구,길,대영로224번길,주도로,201.0,7.0,1407.0,부산
부산광역시,중구,길,대영로226번길,주도로,234.0,3.0,702.0,부산
부산광역시,중구,길,대영로226번안길,주도로,102.0,6.0,612.0,부산
부산광역시,중구,길,대영로239번길,주도로,350.0,6.0,2100.0,부산
부산광역시,중구,길,대영로242번길,주도로,237.0,2.0,474.0,부산
부산광역시,중구,길,대영로242번안길,주도로,138.0,5.0,690.0,부산
부산광역시,중구,길,대영로243번길,주도로,570.0,6.0,3420.0,부산
부산광역시,중구,길,대영로247번길,주도로,145.0,5.0,725.0,부산
부산광역시,중구,로,대청로,주도로,1580.0,25.0,39500.0,부산
부산광역시,중구,길,대청로116번길,주도로,161.0,6.0,966.0,부산
부산광역시,중구,길,대청로125번길,주도로,146.0,2.0,292.0,부산
부산광역시,중구,길,대청로126번길,주도로,386.0,6.0,2316.0,부산
